"system_id","system_label","model","harness","model_annotation","harness_annotation","system_group","clustered_system_order","protocol_id","protocol_label","protocol_order","t3_molecular_transition_f1"
"gemini_pi","Gemini + Pi","Gemini","Pi","Gemini","Pi","shared",4,"petri_seq","PETRI-seq",5,0.980968950509266
"gemini_pi","Gemini + Pi","Gemini","Pi","Gemini","Pi","shared",4,"pip_seq_v4","PIP-seq v4",6,0.862254901960784
"gemini_pi","Gemini + Pi","Gemini","Pi","Gemini","Pi","shared",4,"sci_atac_seq","sci-ATAC-seq",7,0.57
"gemini_pi","Gemini + Pi","Gemini","Pi","Gemini","Pi","shared",4,"scrrbs","scRRBS",8,0.741203703703704
"gemini_pi","Gemini + Pi","Gemini","Pi","Gemini","Pi","shared",4,"share_seq","SHARE-seq",9,0.799757230130745
"gemini_pi","Gemini + Pi","Gemini","Pi","Gemini","Pi","shared",4,"smart_seq","SMART-seq",10,0.416666666666667
"gemini_mini_swe","Gemini + mini-SWE","Gemini","mini-SWE","Gemini","mini-SWE","shared",5,"10x_chromium_3_gene_expression_v4","10x 3' GEX v4",1,0.796969696969697
"gemini_mini_swe","Gemini + mini-SWE","Gemini","mini-SWE","Gemini","mini-SWE","shared",5,"ddseq_single_cell_3_rna_seq_kit","ddSEQ 3' RNA",2,0.473076923076923
"gemini_mini_swe","Gemini + mini-SWE","Gemini","mini-SWE","Gemini","mini-SWE","shared",5,"dr_seq","DR-seq",3,0.481746031746032
"gemini_mini_swe","Gemini + mini-SWE","Gemini","mini-SWE","Gemini","mini-SWE","shared",5,"indrop_v1","inDrop v1",4,0.783284023668639
"gemini_mini_swe","Gemini + mini-SWE","Gemini","mini-SWE","Gemini","mini-SWE","shared",5,"petri_seq","PETRI-seq",5,0.980968950509266
"gemini_mini_swe","Gemini + mini-SWE","Gemini","mini-SWE","Gemini","mini-SWE","shared",5,"pip_seq_v4","PIP-seq v4",6,0.778411566646861
"gemini_mini_swe","Gemini + mini-SWE","Gemini","mini-SWE","Gemini","mini-SWE","shared",5,"sci_atac_seq","sci-ATAC-seq",7,0.57
"gemini_mini_swe","Gemini + mini-SWE","Gemini","mini-SWE","Gemini","mini-SWE","shared",5,"scrrbs","scRRBS",8,0.889444444444444
"gemini_mini_swe","Gemini + mini-SWE","Gemini","mini-SWE","Gemini","mini-SWE","shared",5,"share_seq","SHARE-seq",9,0.745519368624207
"gemini_mini_swe","Gemini + mini-SWE","Gemini","mini-SWE","Gemini","mini-SWE","shared",5,"smart_seq","SMART-seq",10,0.416666666666667
"claude_pi","Claude + Pi","Claude","Pi","Claude","Pi","shared",6,"10x_chromium_3_gene_expression_v4","10x 3' GEX v4",1,0.9
"claude_pi","Claude + Pi","Claude","Pi","Claude","Pi","shared",6,"ddseq_single_cell_3_rna_seq_kit","ddSEQ 3' RNA",2,0.536666666666667
"claude_pi","Claude + Pi","Claude","Pi","Claude","Pi","shared",6,"dr_seq","DR-seq",3,0.596739130434783
"claude_pi","Claude + Pi","Claude","Pi","Claude","Pi","shared",6,"indrop_v1","inDrop v1",4,0.827313071543841
"claude_pi","Claude + Pi","Claude","Pi","Claude","Pi","shared",6,"petri_seq","PETRI-seq",5,0.86170183538553
"claude_pi","Claude + Pi","Claude","Pi","Claude","Pi","shared",6,"pip_seq_v4","PIP-seq v4",6,0.788562091503268
"claude_pi","Claude + Pi","Claude","Pi","Claude","Pi","shared",6,"sci_atac_seq","sci-ATAC-seq",7,0.502777777777778
"claude_pi","Claude + Pi","Claude","Pi","Claude","Pi","shared",6,"scrrbs","scRRBS",8,0.863131313131313
"claude_pi","Claude + Pi","Claude","Pi","Claude","Pi","shared",6,"share_seq","SHARE-seq",9,0.76328103677037
"claude_pi","Claude + Pi","Claude","Pi","Claude","Pi","shared",6,"smart_seq","SMART-seq",10,0.713684210526316
"gemini_antigravity","Gemini + Antigravity CLI","Gemini","Native","Gemini","Antigravity CLI","native",7,"10x_chromium_3_gene_expression_v4","10x 3' GEX v4",1,0.9
"gemini_antigravity","Gemini + Antigravity CLI","Gemini","Native","Gemini","Antigravity CLI","native",7,"ddseq_single_cell_3_rna_seq_kit","ddSEQ 3' RNA",2,0.413636363636364
"gemini_antigravity","Gemini + Antigravity CLI","Gemini","Native","Gemini","Antigravity CLI","native",7,"dr_seq","DR-seq",3,0.52536231884058
"gemini_antigravity","Gemini + Antigravity CLI","Gemini","Native","Gemini","Antigravity CLI","native",7,"indrop_v1","inDrop v1",4,0.806360946745562
"gemini_antigravity","Gemini + Antigravity CLI","Gemini","Native","Gemini","Antigravity CLI","native",7,"petri_seq","PETRI-seq",5,0.980968950509266
"gemini_antigravity","Gemini + Antigravity CLI","Gemini","Native","Gemini","Antigravity CLI","native",7,"pip_seq_v4","PIP-seq v4",6,0.777936224995048
"gemini_antigravity","Gemini + Antigravity CLI","Gemini","Native","Gemini","Antigravity CLI","native",7,"sci_atac_seq","sci-ATAC-seq",7,0.563521969174143
"gemini_antigravity","Gemini + Antigravity CLI","Gemini","Native","Gemini","Antigravity CLI","native",7,"scrrbs","scRRBS",8,0.808585858585859
"gemini_antigravity","Gemini + Antigravity CLI","Gemini","Native","Gemini","Antigravity CLI","native",7,"share_seq","SHARE-seq",9,0.666426146010187
"gemini_antigravity","Gemini + Antigravity CLI","Gemini","Native","Gemini","Antigravity CLI","native",7,"smart_seq","SMART-seq",10,0.602777777777778
"gpt_mini_swe","GPT + mini-SWE","GPT","mini-SWE","GPT","mini-SWE","shared",8,"10x_chromium_3_gene_expression_v4","10x 3' GEX v4",1,0.9
"gpt_mini_swe","GPT + mini-SWE","GPT","mini-SWE","GPT","mini-SWE","shared",8,"ddseq_single_cell_3_rna_seq_kit","ddSEQ 3' RNA",2,0.4
"gpt_mini_swe","GPT + mini-SWE","GPT","mini-SWE","GPT","mini-SWE","shared",8,"dr_seq","DR-seq",3,0
"gpt_mini_swe","GPT + mini-SWE","GPT","mini-SWE","GPT","mini-SWE","shared",8,"indrop_v1","inDrop v1",4,0.708846153846154
"gpt_mini_swe","GPT + mini-SWE","GPT","mini-SWE","GPT","mini-SWE","shared",8,"petri_seq","PETRI-seq",5,0.935086853736253
"gpt_mini_swe","GPT + mini-SWE","GPT","mini-SWE","GPT","mini-SWE","shared",8,"pip_seq_v4","PIP-seq v4",6,0.491188853953179
"gpt_mini_swe","GPT + mini-SWE","GPT","mini-SWE","GPT","mini-SWE","shared",8,"sci_atac_seq","sci-ATAC-seq",7,0.483521969174143
"gpt_mini_swe","GPT + mini-SWE","GPT","mini-SWE","GPT","mini-SWE","shared",8,"scrrbs","scRRBS",8,0.949444444444444
"gpt_mini_swe","GPT + mini-SWE","GPT","mini-SWE","GPT","mini-SWE","shared",8,"share_seq","SHARE-seq",9,0.620755880603079
"gpt_mini_swe","GPT + mini-SWE","GPT","mini-SWE","GPT","mini-SWE","shared",8,"smart_seq","SMART-seq",10,0.551998050682261
"gpt_codex","GPT + Codex","GPT","Native","GPT","Codex","native",9,"10x_chromium_3_gene_expression_v4","10x 3' GEX v4",1,0.792307692307692
"gpt_codex","GPT + Codex","GPT","Native","GPT","Codex","native",9,"ddseq_single_cell_3_rna_seq_kit","ddSEQ 3' RNA",2,0.569642857142857
"gpt_codex","GPT + Codex","GPT","Native","GPT","Codex","native",9,"dr_seq","DR-seq",3,0.470833333333333
"gpt_codex","GPT + Codex","GPT","Native","GPT","Codex","native",9,"indrop_v1","inDrop v1",4,0.827313071543841
"gpt_codex","GPT + Codex","GPT","Native","GPT","Codex","native",9,"petri_seq","PETRI-seq",5,0.935086853736253
"gpt_codex","GPT + Codex","GPT","Native","GPT","Codex","native",9,"pip_seq_v4","PIP-seq v4",6,0.590478614301762
"gpt_codex","GPT + Codex","GPT","Native","GPT","Codex","native",9,"sci_atac_seq","sci-ATAC-seq",7,0.483521969174143
"gpt_codex","GPT + Codex","GPT","Native","GPT","Codex","native",9,"scrrbs","scRRBS",8,0.894444444444444
"gpt_codex","GPT + Codex","GPT","Native","GPT","Codex","native",9,"share_seq","SHARE-seq",9,0.727880150082114
"gpt_codex","GPT + Codex","GPT","Native","GPT","Codex","native",9,"smart_seq","SMART-seq",10,0.641366574330564
